num_cands,pm,sv_faster_avg_running_time,sc_faster_avg_running_time,bp_faster_avg_running_time,simple_sv_faster_avg_running_time,max_sv_faster_running_time,max_sc_faster_running_time,max_bp_faster_running_time,max_simple_sv_faster_running_time,mad_sv_faster_running_time,mad_sc_faster_running_time,mad_bp_faster_running_time,mad_simple_sv_faster_running_time,percent_cw
3,IC,0.004257181525230407,8.708071708679199e-05,7.572853565216064e-05,2.147042751312256e-05,0.09146332740783691,0.0001857280731201172,0.0002105236053466797,0.00015687942504882812,0.008012289358139038,1.9947394371032718e-05,1.9001341581344603e-05,2.1819711089134216e-05,0.866
4,IC,0.00013969385623931885,0.0001563119888305664,0.00015350282192230224,5.729365348815918e-05,0.0008170604705810547,0.0009870529174804688,0.0037076473236083984,0.0004134178161621094,0.00017941391813755035,4.432545185089111e-05,4.798807501792907e-05,6.615257716178893e-05,0.7085
5,IC,0.00017992699146270752,0.0003098437786102295,0.0003022451400756836,6.892883777618408e-05,0.0018465518951416016,0.0005474090576171875,0.0005075931549072266,0.0009043216705322266,0.00026132010698318473,9.505240535736085e-05,9.13439874649048e-05,8.8055317401886e-05,0.81
6,IC,0.0008514088392257691,0.000592781662940979,0.000575830340385437,0.0003917677402496338,0.006180286407470703,0.0008878707885742188,0.0030303001403808594,0.003461599349975586,0.0010144027787446974,8.775597584247588e-05,0.00010140755593776701,0.00046141545534133903,0.6175
7,IC,0.001439369797706604,0.0009511035680770875,0.0009472571611404419,0.0006195931434631348,0.013402462005615234,0.017030000686645508,0.0014524459838867188,0.008086442947387695,0.0016869393000602723,0.00010996546626091003,0.0001323980031013489,0.0007281542811393738,0.6015
8,IC,0.0020382286310195925,0.001391996741294861,0.0014250000715255737,0.0009456411600112915,0.022487878799438477,0.0021233558654785156,0.014733314514160156,0.020694255828857422,0.00256042581653595,0.000163185224533081,0.00020766946041584014,0.0011967715303897856,0.6415
9,IC,0.004555683493614197,0.0019172558784484863,0.001913840889930725,0.002625861644744873,0.1045064926147461,0.0051305294036865234,0.003861665725708008,0.050647735595703125,0.004881551485776901,0.0002547213006019592,0.0003012559657096863,0.003082994178295136,0.537
10,IC,0.007213235735893249,0.0026179776191711424,0.0026151714324951173,0.0046951637268066405,0.08995652198791504,0.011213064193725586,0.011819601058959961,0.10760736465454102,0.007540738778591157,0.00036880490922927865,0.0004359603977203369,0.005495198299407958,0.521
11,IC,0.011604518294334412,0.003544299364089966,0.0034963665008544923,0.008229506134986877,0.14182686805725098,0.020557165145874023,0.019901275634765625,0.16822385787963867,0.010541959448456765,0.0005221366078853606,0.0005735308513641357,0.009466504256606102,0.4445
12,IC,0.018932466745376585,0.004287975072860718,0.004245307207107544,0.015940523624420166,0.5823936462402344,0.0073812007904052734,0.008223533630371094,0.5562803745269775,0.019575979520559308,0.0006173053226470945,0.0006916406302452088,0.02022687583589554,0.4895
