num_cands,pm,sv_faster_avg_running_time,sc_faster_avg_running_time,bp_faster_avg_running_time,simple_sv_faster_avg_running_time,max_sv_faster_running_time,max_sc_faster_running_time,max_bp_faster_running_time,max_simple_sv_faster_running_time,mad_sv_faster_running_time,mad_sc_faster_running_time,mad_bp_faster_running_time,mad_simple_sv_faster_running_time,percent_cw
3,IC,0.0017880786418914794,8.972692489624023e-05,8.269386291503907e-05,2.2727108001708984e-05,0.09421730041503906,0.00017404556274414062,0.0001983642578125,0.00016188621520996094,0.003416768879089355,8.065809631347659e-06,8.386772613525387e-06,2.4218260688781733e-05,0.8688
4,IC,0.0001366466999053955,0.00018088769912719726,0.00017926812171936035,5.970573425292969e-05,0.009111404418945312,0.003821849822998047,0.0015358924865722656,0.00042510032653808594,0.00019153133628845218,1.7450187683105474e-05,2.3012344837188724e-05,7.348335342407226e-05,0.7834
5,IC,0.00036248927116394044,0.0003722753524780273,0.0003688405990600586,0.00013801226615905762,0.0057926177978515625,0.012893438339233398,0.01643967628479004,0.0012767314910888672,0.0004744068534660339,4.6641769790649426e-05,5.285742126464843e-05,0.00016710313430786132,0.698
6,IC,0.0006981513023376465,0.0006090454578399658,0.0006039565086364746,0.0002920186996459961,0.01762986183166504,0.01669597625732422,0.016680002212524414,0.012726545333862305,0.0008940515678787232,6.447006025314332e-05,8.088082496643066e-05,0.00036074438568115235,0.6686
7,IC,0.0013092008113861084,0.0009268074035644531,0.0009505665302276612,0.000600812292098999,0.026474714279174805,0.01710820198059082,0.017123699188232422,0.012745141983032227,0.0016199623067092894,0.00010757561569213867,0.0001427934126853943,0.000738121637840271,0.6374
8,IC,0.0029066394329071046,0.001406595802307129,0.0014025132656097412,0.0013796362876892089,0.03928804397583008,0.01752448081970215,0.019580841064453125,0.027570724487304688,0.00288110906873703,0.00016235671447753906,0.00018547023887634278,0.0014854111225128174,0.4998
9,IC,0.004671789979934692,0.0019155587673187256,0.0019163065910339356,0.0027599152088165282,0.07090187072753906,0.008861780166625977,0.007935762405395508,0.05363965034484863,0.0046530049888420105,0.0002452760815620422,0.0002902196943664551,0.0031368344730949398,0.498
10,IC,0.007326900768280029,0.002590825891494751,0.002592102909088135,0.0048204599857330326,0.18897104263305664,0.017067909240722656,0.018880128860473633,0.1363842487335205,0.007657652121505737,0.0003472854846000671,0.0004017033976745605,0.0058278658658981325,0.5206
11,IC,0.009700763702392578,0.0034740803241729737,0.003466046094894409,0.00710747241973877,0.3601038455963135,0.02029728889465332,0.019135236740112305,0.27261853218078613,0.010599481742858888,0.00045329979639053343,0.0004997021021842956,0.008880527276992796,0.544
12,IC,0.021887480926513672,0.004231971311569214,0.004198597860336304,0.024946148109436034,0.7462935447692871,0.020670652389526367,0.02100992202758789,0.880286693572998,0.021861510256958008,0.0006810964351654052,0.0007529754189491271,0.03206381810050964,0.4328
