num_cands,pm,sv_avg_running_time,sv_faster_avg_running_time,simple_sv_avg_running_time,max_sv_running_time,max_simple_sv_running_time,max_sv_faster_running_time,mad_sv_running_time,mad_simple_sv_running_time,mad_sv_faster_running_time,percent_cw
3,IC,0.0001814337968826290,9.61124897003174E-06,4.50035333633423E-05,0.00048804283142089800,0.0001246929168701170,4.14848327636719E-05,4.85179139375687E-05,0.00013643026351928700,3.9944052696228E-06,1.0
4,IC,0.00038302528858184800,8.94664525985718E-05,0.00010651099681854200,0.0010457038879394500,0.00038170814514160200,0.0010292530059814500,9.83563095331192E-05,0.00027651429176330600,0.00012571702897548700,0.8125
5,IC,0.0008320784568786620,0.0002192476987838750,0.00020446741580963100,0.01393270492553710,0.003513813018798830,0.014147758483886700,0.00021988960027694700,0.0006325973629951480,0.0003115245543718340,0.772
6,IC,0.001692533850669860,0.0007664551734924320,0.0005279134511947630,0.014960289001464800,0.012600183486938500,0.01569652557373050,0.00032269246208667800,0.0012071573519706700,0.0008946030426025390,0.601
7,IC,0.0029859603643417400,0.0016306226253509500,0.0011531356573104900,0.01741337776184080,0.016013145446777300,0.015750885009765600,0.0007491054679155350,0.0021670417642593400,0.0017366741783618900,0.54
8,IC,0.004854210972785950,0.0026314146518707300,0.0021230988502502400,0.029370546340942400,0.02045154571533200,0.029668807983398400,0.0013077484600544000,0.003246633309364320,0.002858804359674450,0.546
9,IC,0.007726619839668270,0.004839264750480650,0.00387564218044281,0.05329418182373050,0.06320881843566900,0.047977447509765600,0.0025578386598825500,0.0053318250644207,0.0045027725332975400,0.459
10,IC,0.011552026391029400,0.006326107501983640,0.0061028280258178700,0.10085582733154300,0.06923413276672360,0.1001441478729250,0.004112144760847090,0.00822193244433403,0.007086320604801180,0.5565
11,IC,0.018278522968292200,0.012686127305030800,0.0119594646692276,0.2877519130706790,0.3571813106536870,0.28621840476989700,0.008757935008049010,0.014940179225444800,0.011246661258339900,0.42
12,IC,0.02790773105621340,0.019938516974449200,0.0198350625038147,0.4804387092590330,0.474898099899292,0.48015856742858900,0.016231898275375400,0.023822452872276300,0.019093337365746500,0.433
13,IC,0.041588335394859300,0.029765960097312900,0.037962640047073400,0.8783299922943120,1.194812536239620,0.6374142169952390,0.02902814489173890,0.04179501774215700,0.030565333683371500,0.439
14,IC,0.0639084836244583,0.05150721538066860,0.07109202420711520,1.3080928325653100,1.3623111248016400,1.0777671337127700,0.049277907949805300,0.07315519893050200,0.0502082806391716,0.3285
15,IC,0.08039787304401400,0.0631823171377182,0.08721682786941530,1.5701086521148700,2.410400629043580,1.3103835582733200,0.06209952807843690,0.09156569967126850,0.06223733767962460,0.3455
16,IC,0.13142727780342100,0.10275109338760400,0.22553989005088800,3.699502468109130,11.961856365203900,2.4265811443328900,0.12277650755357700,0.21733448624444000,0.11352725405168500,0.3655
17,IC,0.22387323772907300,0.18434175312519100,0.4483911064863210,8.571674346923830,12.795162916183500,7.0392444133758500,0.24321656806695500,0.4229458757730720,0.21428959093511100,0.294
18,IC,0.2848395159244540,0.2347782530784610,0.5437338416576390,17.97079062461850,20.751521348953200,14.354597091674800,0.31016939179110500,0.5333427428832060,0.27375432870721800,0.291
19,IC,0.4309991159439090,0.35861661410331700,0.861283642411232,27.2378191947937,30.67632532119750,16.903695344924900,0.5029394612379070,0.8427527328767780,0.4446063819673060,0.323
20,IC,0.6375029064416890,0.5312428741455080,1.8019739335775400,36.06149768829350,216.3194124698640,23.810590982437100,0.7885709686533210,1.7691945340297200,0.6765678301391600,0.2875
21,IC,0.8588705902099610,0.7378309781551360,2.9291564396619800,52.1340491771698,148.36202907562300,39.56529211997990,1.0816331725578300,2.7697070919199000,0.9530806785798070,0.272
22,IC,1.1472625094652200,0.9109125753641130,,55.3662793636322,,48.46195960044860,1.478511183951500,,1.1909954474332300,0.2995
23,IC,1.640747691988950,1.3214403837919200,,181.63474678993200,,166.49012875556900,2.274684607575540,,1.8509435641169500,0.306
24,IC,4.111534195423130,3.361939008831980,,329.63391375541700,,320.71382236480700,6.110018960259910,,4.941922803494930,0.2575
25,IC,4.5291888163089800,3.7765690355300900,,1026.2663986682900,,1068.1087565422100,6.831090752780440,,5.657518641653060,0.258
3,URN-R,0.00014289414882659900,1.42252445220947E-05,3.7246823310852E-05,0.00029778480529785200,0.00013566017150878900,0.00027871131896972700,3.33229335546494E-05,0.00010564732551574700,1.22421491146088E-05,0.9595
4,URN-R,0.0003212867975234990,4.72499132156372E-05,9.14866924285889E-05,0.0008521080017089840,0.0004153251647949220,0.0008795261383056640,9.62815527915955E-05,0.0002301856532096860,6.46075929403305E-05,0.9055
5,URN-R,0.0006192508935928350,8.77363681793213E-05,0.00018985974788665800,0.001954793930053710,0.001279592514038090,0.0018897056579589800,0.0001936546790599820,0.00043266093015670800,0.00013036644244194000,0.8935
6,URN-R,0.0013239070177078200,0.00023130226135253900,0.0004932444095611570,0.00476384162902832,0.0035021305084228500,0.004762172698974610,0.00035799430751800500,0.0008725629462003710,0.0003618590946197510,0.862
7,URN-R,0.0022497529983520500,0.00043003153800964400,0.0010521348714828500,0.010565042495727500,0.007794380187988280,0.012323379516601600,0.0006317545652389530,0.0014128484048843400,0.0006824302678108220,0.847
8,URN-R,0.003889631509780880,0.0007795932292938230,0.002228265643119810,0.03941750526428220,0.02392745018005370,0.03693366050720220,0.000995154949426651,0.002625716460704800,0.0012461337027549700,0.837
