num_cands,pm,sv_avg_running_time,sv_faster_avg_running_time,percent_cw
3,IC,0.0044011733531951905,1.2137770652770996e-05,0.9265
4,IC,8.946418762207031e-05,2.8205275535583497e-05,0.855
5,IC,0.00025039637088775633,0.00010794484615325927,0.7265
6,IC,0.0004747931957244873,0.00023621726036071779,0.6175
7,IC,0.0009938671588897705,0.0005947157144546509,0.534
8,IC,0.001840505838394165,0.0011260522603988648,0.574
9,IC,0.003662266969680786,0.0025754748582839967,0.5095
10,IC,0.008031914830207825,0.0062451729774475094,0.4335
11,IC,0.012269120931625367,0.008830212712287903,0.442
12,IC,0.03195047271251678,0.025081262826919557,0.374
13,IC,0.05149537181854248,0.04104732763767242,0.361
14,IC,0.048165167927742,0.03661110115051269,0.4135
15,IC,0.1092650444507599,0.08142858159542084,0.414
16,IC,0.20835334527492524,0.17309471797943116,0.3105
17,IC,0.42032541751861574,0.3488098194599152,0.297
18,IC,0.7629743621349335,0.5953902660608291,0.3345
19,IC,0.7831195822954178,0.6020674207210541,0.318
20,IC,1.3181704524755478,1.0748274649381637,0.2475
21,IC,3.715025797367096,2.9130600655078887,0.292
22,IC,7.014718061923981,5.566754832863808,0.257
3,URN-R,4.540300369262695e-05,9.730219841003419e-06,0.956
4,URN-R,9.258794784545898e-05,2.1871805191040038e-05,0.9085
5,URN-R,0.0001959068775177002,4.165470600128174e-05,0.897
6,URN-R,0.0004050948619842529,9.534657001495362e-05,0.858
7,URN-R,0.0009317154884338379,0.0002519803047180176,0.8265
8,URN-R,0.002276232838630676,0.0006003066301345825,0.7955
9,URN-R,0.004497395515441894,0.0010782471895217896,0.791
10,URN-R,0.012016741633415222,0.0027129197120666503,0.774
11,URN-R,0.02554407775402069,0.006065880060195923,0.7545
12,URN-R,0.05449065434932709,0.012104816794395446,0.7425
13,URN-R,0.10185122835636139,0.022066977858543398,0.7325
14,URN-R,0.25187136662006376,0.054882614970207216,0.713
15,URN-R,0.49271962904930117,0.10441928017139435,0.7085
16,URN-R,1.0849180181026459,0.2384512231349945,0.7085
17,URN-R,2.3409553639888765,0.47396421813964845,0.6985
18,URN-R,4.631690331935882,0.8372407494783402,0.702
19,URN-R,9.754890778660775,1.9500416755676269,0.6925
20,URN-R,20.523814766287803,4.07286763727665,0.6925
